nom,prix,website,source,date_scraped,category,promotion,url,description,normalized_nom,normalized_description
GE Profile - Opal 1.0 Nugget Ice Maker With Side Tank ,519.99,bestbuy.com,https://www.bestbuy.com/site/home-appliances/freezers-ice-makers/abcat0902000.c?id=abcat0902000,2025-01-03 20:07:23,freezers,,,,ge profile - opal 1.0 nugget ice maker with side tank ,ge profile - opal 1.0 nugget ice maker with side tank 
Insignia™ - 17 Cu. Ft. Garage Ready Convertible Upright Freezer with ENERGY STAR Certification,599.99,bestbuy.com,https://www.bestbuy.com/site/home-appliances/freezers-ice-makers/abcat0902000.c?id=abcat0902000,2025-01-03 20:07:23,freezers,,,,insignia™ - 17 cu. ft. garage ready convertible upright freezer with energy star certification,insignia™ - 17 cu. ft. garage ready convertible upright freezer with energy star certification
Samsung - 11.4 cu. ft. Capacity Convertible Upright Freezer Look,749.99,bestbuy.com,https://www.bestbuy.com/site/home-appliances/freezers-ice-makers/abcat0902000.c?id=abcat0902000,2025-01-03 20:07:23,freezers,,,,samsung - 11.4 cu. ft. capacity convertible upright freezer look,samsung - 11.4 cu. ft. capacity convertible upright freezer look
Insignia™ - Portable Ice Maker with Auto Shut-Off,79.99,bestbuy.com,https://www.bestbuy.com/site/home-appliances/freezers-ice-makers/abcat0902000.c?id=abcat0902000,2025-01-03 20:07:23,freezers,,,,insignia™ - portable ice maker with auto shut-off,insignia™ - portable ice maker with auto shut-off
GE Profile - Opal 2.0 Ultra Nugget Ice Maker with Scale Inhibiting Filter - Stone ,579.99,bestbuy.com,https://www.bestbuy.com/site/home-appliances/freezers-ice-makers/abcat0902000.c?id=abcat0902000,2025-01-03 20:07:23,freezers,,,,ge profile - opal 2.0 ultra nugget ice maker with scale inhibiting filter - stone ,ge profile - opal 2.0 ultra nugget ice maker with scale inhibiting filter - stone 
GE - 21.3 Cu. Ft. Frost-Free Upright Freezer,1034.99,bestbuy.com,https://www.bestbuy.com/site/home-appliances/freezers-ice-makers/abcat0902000.c?id=abcat0902000,2025-01-03 20:07:23,freezers,,,,ge - 21.3 cu. ft. frost-free upright freezer,ge - 21.3 cu. ft. frost-free upright freezer
Insignia™ - 10.2 Cu. Ft. Garage-Ready Chest Freezer,299.99,bestbuy.com,https://www.bestbuy.com/site/home-appliances/freezers-ice-makers/abcat0902000.c?id=abcat0902000,2025-01-03 20:07:23,freezers,,,,insignia™ - 10.2 cu. ft. garage-ready chest freezer,insignia™ - 10.2 cu. ft. garage-ready chest freezer
Insignia™ - 21 Cu. Ft. Garage Ready Convertible Upright Freezer with ENERGY STAR Certification,749.99,bestbuy.com,https://www.bestbuy.com/site/home-appliances/freezers-ice-makers/abcat0902000.c?id=abcat0902000,2025-01-03 20:07:23,freezers,,,,insignia™ - 21 cu. ft. garage ready convertible upright freezer with energy star certification,insignia™ - 21 cu. ft. garage ready convertible upright freezer with energy star certification
Insignia™ - 7 Cu. Ft. Garage Ready Upright Convertible Freezer with ENERGY STAR Certification,269.99,bestbuy.com,https://www.bestbuy.com/site/home-appliances/freezers-ice-makers/abcat0902000.c?id=abcat0902000,2025-01-03 20:07:23,freezers,,,,insignia™ - 7 cu. ft. garage ready upright convertible freezer with energy star certification,insignia™ - 7 cu. ft. garage ready upright convertible freezer with energy star certification
Insignia™ - 13.8 Cu. Ft. Garage Ready Convertible Upright Freezer with ENERGY STAR Certification,479.99,bestbuy.com,https://www.bestbuy.com/site/home-appliances/freezers-ice-makers/abcat0902000.c?id=abcat0902000,2025-01-03 20:07:23,freezers,,,,insignia™ - 13.8 cu. ft. garage ready convertible upright freezer with energy star certification,insignia™ - 13.8 cu. ft. garage ready convertible upright freezer with energy star certification
Insignia™ - 3.5 Cu. Ft. Garage-Ready Chest Freezer,139.99,bestbuy.com,https://www.bestbuy.com/site/home-appliances/freezers-ice-makers/abcat0902000.c?id=abcat0902000,2025-01-03 20:07:23,freezers,,,,insignia™ - 3.5 cu. ft. garage-ready chest freezer,insignia™ - 3.5 cu. ft. garage-ready chest freezer
Monogram - Forge Heated Ice Press ,1499.99,bestbuy.com,https://www.bestbuy.com/site/home-appliances/freezers-ice-makers/abcat0902000.c?id=abcat0902000,2025-01-03 20:07:23,freezers,,,,monogram - forge heated ice press ,monogram - forge heated ice press 
