nom,prix,website,source,date_scraped,category,promotion
"iPad 10.9-inch, 64GB Wi-Fi (10th Generation)",339.99,costco.com,https://www.costco.com/ipad.html,2024-12-29 19:11:32,,
"iPad 10.2-inch, 256GB, Wi-Fi (9th Generation)",449.99,costco.com,https://www.costco.com/ipad.html,2024-12-29 19:11:32,,
"iPad 10.9-inch, 256GB Wi-Fi (10th Generation)",489.99,costco.com,https://www.costco.com/ipad.html,2024-12-29 19:11:32,,
"iPad Air 11-inch, 128GB Wi-Fi (M2 chip) Built For Intelligence",569.99,costco.com,https://www.costco.com/ipad.html,2024-12-29 19:11:32,,
"iPad Air 11-inch, 256GB Wi-Fi (M2 chip) Built For Intelligence",669.99,costco.com,https://www.costco.com/ipad.html,2024-12-29 19:11:32,,
"iPad Pro 13-inch, 256GB Wi-Fi (M4 chip) Built For Intelligence",1149.99,costco.com,https://www.costco.com/ipad.html,2024-12-29 19:11:32,,
"iPad Air 13-inch, 128GB Wi-Fi, (M2 chip) Built For Intelligence",769.99,costco.com,https://www.costco.com/ipad.html,2024-12-29 19:11:32,,
"iPad Air 13-inch, 256GB Wi-Fi, (M2 chip) Built For Intelligence",869.99,costco.com,https://www.costco.com/ipad.html,2024-12-29 19:11:32,,
"iPad Pro 11-inch, 256GB Wi-Fi (M4 chip) Built For Intelligence",899.99,costco.com,https://www.costco.com/ipad.html,2024-12-29 19:11:32,,
"iPad Pro 12.9-inch, Wi-Fi (6th Generation) Built For Intelligence",799.99,costco.com,https://www.costco.com/ipad.html,2024-12-29 19:11:32,,
"iPad mini, 128GB, Wi-Fi (A17 Pro Chip)",489.99,costco.com,https://www.costco.com/ipad.html,2024-12-29 19:11:32,,
"iPad Air 13-inch, 512GB Wi-Fi + Cellular, (M2 chip) Built For Intelligence",999.97,costco.com,https://www.costco.com/ipad.html,2024-12-29 19:11:32,,
"iPad Pro 13-inch, 1TB Wi-Fi (M4 chip) Built For Intelligence",1749.99,costco.com,https://www.costco.com/ipad.html,2024-12-29 19:11:32,,
"iPad Pro 13-inch, 512GB Wi-Fi (M4 chip) Built For Intelligence",1349.99,costco.com,https://www.costco.com/ipad.html,2024-12-29 19:11:32,,
"iPad Pro 11-inch, 512GB Wi-Fi (M4 chip) Built For Intelligence",1099.99,costco.com,https://www.costco.com/ipad.html,2024-12-29 19:11:32,,
"iPad Air 13-inch, 256GB Wi-Fi + Cellular, (M2 chip) Built For Intelligence",899.97,costco.com,https://www.costco.com/ipad.html,2024-12-29 19:11:32,,
"iPad Air 10.9-inch, 64GB, Wi-Fi + Cellular (5th Generation) Built For Intelligence",499.97,costco.com,https://www.costco.com/ipad.html,2024-12-29 19:11:32,,
"iPad Air 11-inch, 512GB Wi-Fi (M2 chip) Built For Intelligence",869.99,costco.com,https://www.costco.com/ipad.html,2024-12-29 19:11:32,,
"iPad Air 13-inch,512GB Wi-Fi, (M2 chip) Built For Intelligence",1069.99,costco.com,https://www.costco.com/ipad.html,2024-12-29 19:11:32,,
