nom,prix
"Refurbished Apple Ipad 10.2 Inch Screen, 9th Gen, Silver, 64GB, Wi-Fi Only, Bundle. Bundle includes Beats or JBL headset, Case, Screen Protector, Stylus Pen and Charging Accessories",269.99
"Refurbished Refurbished Apple iPad 8th Generation Tablet, 32GB of Storage, 10.2-inch screen, Space Gray, Wi-Fi only (8th Gen, 2020, MYL92LL/A). Includes Charging Accessories.",259.99
"Refurbished Apple iPad 10.2 Inch Screen, 9th Gen, Silver, 64GB, Wi-Fi Only",216.99
"Refurbished Apple iPad 7 (2019) 32GB 10.2"" Display Wi-Fi Only Space Gray",139.99
"Refurbished 2022 Apple 10.9-inch iPad (Wi-Fi, 256GB) - Pink (10th Generation)",559.95
"Refurbished Apple iPad (8th Generation) MYL92LL/A 32GB Flash Storage 10.2"" 2160 x 1620 Tablet PC (Wi-Fi Only) Space Gray",149.99
"Refurbished Apple iPad Pro 12.9"" (5th Gen) A2379 (WiFi + Cellular Unlocked) 512GB Space Gray (Grade A+)",799.99
"Refurbished Apple iPad Pro 12.9"" (3rd Gen) A2014 (WiFi + Cellular Unlocked) 256GB Space Gray Bundle w/ Case, Tempered Glass, Stylus, Charger",439.99
"Refurbished Apple iPad Pro 12.9"" (3rd Gen) A2014 (WiFi + Cellular Unlocked) 256GB Space Gray",419.99
"Refurbished Apple iPad Pro 11-Inch (M4): Ultra Retina XDR Display - Nano-Texture Glass, 2TB, Landscape 12MP Front Camera/12MP Back Camera, LiDAR Scanner, Wi-Fi 6E, Face ID, All-Day Battery Life - Silver",2194.95
Refurbished Apple iPad 9th Gen A2602 (WiFi) 64GB Silver (Grade A+),204.74
"Refurbished Apple iPad 7 (7th Gen) 32GB - Wi-Fi - 10.2"" - 2019 Space Gray",129.99
"Refurbished Apple iPad Air 4 (4th Gen) 64GB - Wi-Fi - 10.9"" - Space Gray - (2020) - Good Condition",309.97
"Refurbished Apple iPad 7th Gen A2197 (WiFi) 32GB Space Gray Bundle w/ Case, Box, Bluetooth Earbuds, Tempered Glass, Stylus, Stand, Charger",139.99
"Refurbished Refurbished iPad (5th Gen, 2017) 9.7-inch, 32GB, Space Gray, Wi-Fi Only Grade A",92.62
Refurbished Apple iPad Air 3 A2152 (WiFi) 64GB Silver (Grade A),159.99
"Refurbished 2022 Apple 10.9-inch iPad (Wi-Fi, 256GB) - Silver (10th Generation)",554.95
"Refurbished Apple iPad Pro 11-Inch (M4): Ultra Retina XDR Display, 256GB, Landscape 12MP Front Camera/12MP Back Camera, LiDAR Scanner, Wi-Fi 6E, Face ID, All-Day Battery Life - Silver",1074.95
"Refurbished 2021 Apple 12.9-inch iPad Pro (WiFi + Cellular, 2TB) - Space Gray (Renewed)",829.95
"Refurbished 2021 Apple iPad Mini (Wi-Fi, 64GB) - Starlight",445.02
"Refurbished Apple iPad Mini (A17 Pro): Apple Intelligence, 8.3-inch Liquid Retina Display, 256GB, Wi-Fi 6E, 12MP Front/12MP Back Camera, Touch ID, All-Day Battery Life - Space Gray",709.95
"Refurbished Apple iPad Mini (A17 Pro): Apple Intelligence, 8.3-inch Liquid Retina Display, 256GB, Wi-Fi 6E, 12MP Front/12MP Back Camera, Touch ID, All-Day Battery Life - Blue",709.95
"Refurbished Apple iPad Pro 13-Inch (M4): Ultra Retina XDR Display, 512GB, Landscape 12MP Front Camera/12MP Back Camera, LiDAR Scanner, Wi-Fi 6E, Face ID, All-Day Battery Life - Silver",1589.95
Refurbished Apple iPad Mini 4 A1550 (WiFi + Cellular Unlocked) 128GB Space Gray (Grade A),126.74
"Refurbished Apple iPad Pro 12.9"" (3rd Gen) A2014 (WiFi + Cellular Unlocked) 256GB Space Gray Bundle w/ Case, Bluetooth Earbuds, Tempered Glass, Stylus, Charger",439.99
"Refurbished Apple iPad Pro 5 (5th Gen) 256GB - Wi-Fi - 12.9"" - Space Gray - (2021) - Excellent Condition",749.97
Refurbished Apple iPad 8th Gen A2428 (WiFi + Cellular Unlocked) 32GB Space Gray (Grade A),165.74
Refurbished Apple iPad 8th Gen A2270 (WiFi) 32GB Space Gray (Grade B),149.99
"Refurbished Apple iPad Air 13-inch (M2): Liquid Retina display, 128GB, Landscape 12MP Front Camera/12MP Back Camera, Wi-Fi 6E + 5G Cellular with eSIM, Touch ID, All-Day Battery Life - Space Gray",1029.95
"Refurbished Apple iPad Pro (1st Gen) 64GB - Wi-Fi - 11"" - Space Gray - (2018) - Good Condition",339.97
"Refurbished Apple iPad Air 11-inch (M2): Liquid Retina Display, 128GB, Landscape 12MP Front Camera/12MP Back Camera, Wi-Fi 6E, Touch ID, All-Day Battery Life - Purple",669.95
"Refurbished Apple iPad Mini (A17 Pro): Apple Intelligence, 8.3-inch Liquid Retina Display, 128GB, Wi-Fi 6E, 12MP Front/12MP Back Camera, Touch ID, All-Day Battery Life - Starlight",509.95
"Refurbished Apple iPad Pro 5 (5th Gen) 512GB - Wi-Fi - 12.9"" - Space Gray - (2021) - Very Good Condition",849.97
Refurbished Apple iPad Mini 2 A1489 (WiFi) 16GB Space Gray,93.49
"Refurbished Apple iPad 7th Generation 10.2"" 32GB Space Gray (WiFi) Grade C A2197 MW742LL/A 2019",129.99
"Refurbished Apple iPad Air 13-inch (M2): Liquid Retina Display, 128GB, Landscape 12MP Front Camera/12MP Back Camera, Wi-Fi 6E, Touch ID, All-Day Battery Life - Purple",869.95
