nom,prix,website,source,date_scraped,category,promotion,url,description,normalized_nom,normalized_description,nom_and_description
Whirlpool - 21.4 Cu. Ft. Side-by-Side Refrigerator with Fingerprint Resistant,1199.99,bestbuy.com,https://www.bestbuy.com/site/refrigerators/all-refrigerators/pcmcat367400050001.c?id=pcmcat367400050001&intl=nosplash,2025-01-18 22:31:01,refrigerators,,https://www.bestbuy.com/site/whirlpool-21-4-cu-ft-side-by-side-refrigerator-with-fingerprint-resistant-stainless-steel/6076924.p?skuId=6076924,Specifications Voice Assistant Built-in No Product Height 66 5/8 inches Product Width 32 3/4 inches Height To Top Of Refrigerator (Without Hinges) 65 5/8 inches Height To Top Of Door Hinge 66 1/4 inches Depth Without Handle 31 5/8 inches,whirlpool - 21.4 cu. ft. side-by-side refrigerator with fingerprint resistant,specifications voice assistant built-in no product height 66 5/8 inches product width 32 3/4 inches height to top of refrigerator (without hinges) 65 5/8 inches height to top of door hinge 66 1/4 inches depth without handle 31 5/8 inches,Whirlpool - 21.4 Cu. Ft. Side-by-Side Refrigerator with Fingerprint Resistant Specifications Voice Assistant Built-in No Product Height 66 5/8 inches Product Width 32 3/4 inches Height To Top Of Refrigerator (Without Hinges) 65 5/8 inches Height To Top Of Door Hinge 66 1/4 inches Depth Without Handle 31 5/8 inches
Frigidaire - Gallery 22.3 Cu. Ft. Side-by-Side Counter-Depth Refrigerator,1249.99,bestbuy.com,https://www.bestbuy.com/site/refrigerators/all-refrigerators/pcmcat367400050001.c?id=pcmcat367400050001&intl=nosplash,2025-01-18 22:31:01,refrigerators,,https://www.bestbuy.com/site/frigidaire-gallery-22-3-cu-ft-side-by-side-counter-depth-refrigerator-silver/6448442.p?skuId=6448442,Specifications Voice Assistant Built-in No Product Height 69 7/8 inches Product Width 36 1/8 inches Height To Top Of Refrigerator (Without Hinges) 68.625 inches Height To Top Of Door Hinge 69 7/8 inches Depth Without Handle 28.5 inches,frigidaire - gallery 22.3 cu. ft. side-by-side counter-depth refrigerator,specifications voice assistant built-in no product height 69 7/8 inches product width 36 1/8 inches height to top of refrigerator (without hinges) 68.625 inches height to top of door hinge 69 7/8 inches depth without handle 28.5 inches,Frigidaire - Gallery 22.3 Cu. Ft. Side-by-Side Counter-Depth Refrigerator Specifications Voice Assistant Built-in No Product Height 69 7/8 inches Product Width 36 1/8 inches Height To Top Of Refrigerator (Without Hinges) 68.625 inches Height To Top Of Door Hinge 69 7/8 inches Depth Without Handle 28.5 inches
"Frigidaire - 26.0 Cu. Ft. 36"" Standard Depth Side by Side Refrigerator",1099.99,bestbuy.com,https://www.bestbuy.com/site/refrigerators/all-refrigerators/pcmcat367400050001.c?id=pcmcat367400050001&intl=nosplash,2025-01-18 22:31:01,refrigerators,,https://www.bestbuy.com/site/frigidaire-26-0-cu-ft-36-standard-depth-side-by-side-refrigerator-stainless-steel/6602933.p?skuId=6602933,Specifications Product Height 69 7/8 inches Product Width 36 1/8 inches Height To Top Of Refrigerator (Without Hinges) 68.625 inches Height To Top Of Door Hinge 69.875 inches Depth Without Handle 33.375 inches Depth With Handle 35.875 inches,"frigidaire - 26.0 cu. ft. 36"" standard depth side by side refrigerator",specifications product height 69 7/8 inches product width 36 1/8 inches height to top of refrigerator (without hinges) 68.625 inches height to top of door hinge 69.875 inches depth without handle 33.375 inches depth with handle 35.875 inches,"Frigidaire - 26.0 Cu. Ft. 36"" Standard Depth Side by Side Refrigerator Specifications Product Height 69 7/8 inches Product Width 36 1/8 inches Height To Top Of Refrigerator (Without Hinges) 68.625 inches Height To Top Of Door Hinge 69.875 inches Depth Without Handle 33.375 inches Depth With Handle 35.875 inches"
Insignia™ - 14.2 Cu. Ft. Top-Freezer Refrigerator with ENERGY STAR Certification,399.99,bestbuy.com,https://www.bestbuy.com/site/refrigerators/all-refrigerators/pcmcat367400050001.c?id=pcmcat367400050001&intl=nosplash,2025-01-18 22:31:01,refrigerators,,https://www.bestbuy.com/site/insignia-14-2-cu-ft-top-freezer-refrigerator-with-energy-star-certification-white/6595153.p?skuId=6595153,Specifications Product Height 60.6 inches Product Width 27.6 inches Height To Top Of Refrigerator (Without Hinges) 60 inches Height To Top Of Door Hinge 60.6 inches Depth Without Handle 28.8 inches Depth With Handle 28.8 inches,insignia™ - 14.2 cu. ft. top-freezer refrigerator with energy star certification,specifications product height 60.6 inches product width 27.6 inches height to top of refrigerator (without hinges) 60 inches height to top of door hinge 60.6 inches depth without handle 28.8 inches depth with handle 28.8 inches,Insignia™ - 14.2 Cu. Ft. Top-Freezer Refrigerator with ENERGY STAR Certification Specifications Product Height 60.6 inches Product Width 27.6 inches Height To Top Of Refrigerator (Without Hinges) 60 inches Height To Top Of Door Hinge 60.6 inches Depth Without Handle 28.8 inches Depth With Handle 28.8 inches
LG - Counter-Depth MAX 26.5 Cu. Ft. French Door Smart Refrigerator with Internal Water,1799.99,bestbuy.com,https://www.bestbuy.com/site/refrigerators/all-refrigerators/pcmcat367400050001.c?id=pcmcat367400050001&intl=nosplash,2025-01-18 22:31:01,refrigerators,,https://www.bestbuy.com/site/lg-counter-depth-max-26-5-cu-ft-french-door-smart-refrigerator-with-internal-water-stainless-steel/6511564.p?skuId=6511564,Specifications Voice Assistant Built-in No Product Height 70 1/4 inches Product Width 35 3/4 inches Height To Top Of Refrigerator (Without Hinges) 68 7/8 inches Height To Top Of Door Hinge 70 1/4 inches Depth Without Handle 29 1/4 inches,lg - counter-depth max 26.5 cu. ft. french door smart refrigerator with internal water,specifications voice assistant built-in no product height 70 1/4 inches product width 35 3/4 inches height to top of refrigerator (without hinges) 68 7/8 inches height to top of door hinge 70 1/4 inches depth without handle 29 1/4 inches,LG - Counter-Depth MAX 26.5 Cu. Ft. French Door Smart Refrigerator with Internal Water Specifications Voice Assistant Built-in No Product Height 70 1/4 inches Product Width 35 3/4 inches Height To Top Of Refrigerator (Without Hinges) 68 7/8 inches Height To Top Of Door Hinge 70 1/4 inches Depth Without Handle 29 1/4 inches
Whirlpool - 20.6 Cu. Ft. Side-by-Side Counter-Depth Refrigerator,1499.99,bestbuy.com,https://www.bestbuy.com/site/refrigerators/all-refrigerators/pcmcat367400050001.c?id=pcmcat367400050001&intl=nosplash,2025-01-18 22:31:01,refrigerators,,https://www.bestbuy.com/site/whirlpool-20-6-cu-ft-side-by-side-counter-depth-refrigerator-stainless-steel/6136704.p?skuId=6136704,Specifications Voice Assistant Built-in No Product Height 68 7/8 inches Product Width 36 inches Height To Top Of Refrigerator (Without Hinges) 68 5/8 inches Height To Top Of Door Hinge 68 7/8 inches Depth Without Handle 27 1/2 inches,whirlpool - 20.6 cu. ft. side-by-side counter-depth refrigerator,specifications voice assistant built-in no product height 68 7/8 inches product width 36 inches height to top of refrigerator (without hinges) 68 5/8 inches height to top of door hinge 68 7/8 inches depth without handle 27 1/2 inches,Whirlpool - 20.6 Cu. Ft. Side-by-Side Counter-Depth Refrigerator Specifications Voice Assistant Built-in No Product Height 68 7/8 inches Product Width 36 inches Height To Top Of Refrigerator (Without Hinges) 68 5/8 inches Height To Top Of Door Hinge 68 7/8 inches Depth Without Handle 27 1/2 inches
Samsung - 32 cu. ft. 3-Door French Door Smart Refrigerator with Dual Auto Ice Maker,1499.99,bestbuy.com,https://www.bestbuy.com/site/refrigerators/all-refrigerators/pcmcat367400050001.c?id=pcmcat367400050001&intl=nosplash,2025-01-18 22:31:01,refrigerators,,https://www.bestbuy.com/site/samsung-32-cu-ft-3-door-french-door-smart-refrigerator-with-dual-auto-ice-maker-stainless-steel/6546219.p?skuId=6546219,Specifications Product Height 70 inches Product Width 35 3/4 inches Height To Top Of Refrigerator (Without Hinges) 68 7/8 inches Height To Top Of Door Hinge 70 inches Depth Without Handle 33 7/8 inches Depth With Handle 36 1/4 inches,samsung - 32 cu. ft. 3-door french door smart refrigerator with dual auto ice maker,specifications product height 70 inches product width 35 3/4 inches height to top of refrigerator (without hinges) 68 7/8 inches height to top of door hinge 70 inches depth without handle 33 7/8 inches depth with handle 36 1/4 inches,Samsung - 32 cu. ft. 3-Door French Door Smart Refrigerator with Dual Auto Ice Maker Specifications Product Height 70 inches Product Width 35 3/4 inches Height To Top Of Refrigerator (Without Hinges) 68 7/8 inches Height To Top Of Door Hinge 70 inches Depth Without Handle 33 7/8 inches Depth With Handle 36 1/4 inches
Insignia™ - 20.5 Cu. Ft. Top-Freezer Refrigerator with ENERGY STAR Certification,649.99,bestbuy.com,https://www.bestbuy.com/site/refrigerators/all-refrigerators/pcmcat367400050001.c?id=pcmcat367400050001&intl=nosplash,2025-01-18 22:31:01,refrigerators,,https://www.bestbuy.com/site/insignia-20-5-cu-ft-top-freezer-refrigerator-with-energy-star-certification-stainless-steel/6507733.p?skuId=6507733,Specifications Product Height 66 5/8 inches Product Width 29 3/4 inches Height To Top Of Refrigerator (Without Hinges) 66 inches Height To Top Of Door Hinge 66 11/16 inches Depth Without Handle 32 7/8 inches Depth With Handle 32 7/8 inches,insignia™ - 20.5 cu. ft. top-freezer refrigerator with energy star certification,specifications product height 66 5/8 inches product width 29 3/4 inches height to top of refrigerator (without hinges) 66 inches height to top of door hinge 66 11/16 inches depth without handle 32 7/8 inches depth with handle 32 7/8 inches,Insignia™ - 20.5 Cu. Ft. Top-Freezer Refrigerator with ENERGY STAR Certification Specifications Product Height 66 5/8 inches Product Width 29 3/4 inches Height To Top Of Refrigerator (Without Hinges) 66 inches Height To Top Of Door Hinge 66 11/16 inches Depth Without Handle 32 7/8 inches Depth With Handle 32 7/8 inches
Haier - 15.0 Cu. Ft. 4-Door French Door Refrigerator with Quick Cool and Freeze,1099.99,bestbuy.com,https://www.bestbuy.com/site/refrigerators/all-refrigerators/pcmcat367400050001.c?id=pcmcat367400050001&intl=nosplash,2025-01-18 22:31:01,refrigerators,,https://www.bestbuy.com/site/haier-15-0-cu-ft-4-door-french-door-refrigerator-with-quick-cool-and-freeze-stainless-steel/6494084.p?skuId=6494084,Specifications Voice Assistant Built-in No Product Height 69 7/8 inches Product Width 27 3/4 inches Height To Top Of Refrigerator (Without Hinges) 68 inches Height To Top Of Door Hinge 69 7/8 inches Depth Without Handle 26 5/8 inches,haier - 15.0 cu. ft. 4-door french door refrigerator with quick cool and freeze,specifications voice assistant built-in no product height 69 7/8 inches product width 27 3/4 inches height to top of refrigerator (without hinges) 68 inches height to top of door hinge 69 7/8 inches depth without handle 26 5/8 inches,Haier - 15.0 Cu. Ft. 4-Door French Door Refrigerator with Quick Cool and Freeze Specifications Voice Assistant Built-in No Product Height 69 7/8 inches Product Width 27 3/4 inches Height To Top Of Refrigerator (Without Hinges) 68 inches Height To Top Of Door Hinge 69 7/8 inches Depth Without Handle 26 5/8 inches
Samsung - Bespoke 29 Cu. Ft. 4-Door Flex French Door Smart Refrigerator with AI Family Hub+ and AI Vision Inside,3299.99,bestbuy.com,https://www.bestbuy.com/site/refrigerators/all-refrigerators/pcmcat367400050001.c?id=pcmcat367400050001&intl=nosplash,2025-01-18 22:31:01,refrigerators,,https://www.bestbuy.com/site/samsung-bespoke-29-cu-ft-4-door-flex-french-door-smart-refrigerator-with-ai-family-hub-and-ai-vision-inside-white-glass/6571684.p?skuId=6571684,Specifications Voice Assistant Built-in Amazon Alexa Product Height 73 inches Product Width 35 7/8 inches Height To Top Of Refrigerator (Without Hinges) 70 3/4 inches Height To Top Of Door Hinge 73 inches Depth Without Handle 34 1/4 inches,samsung - bespoke 29 cu. ft. 4-door flex french door smart refrigerator with ai family hub+ and ai vision inside,specifications voice assistant built-in amazon alexa product height 73 inches product width 35 7/8 inches height to top of refrigerator (without hinges) 70 3/4 inches height to top of door hinge 73 inches depth without handle 34 1/4 inches,Samsung - Bespoke 29 Cu. Ft. 4-Door Flex French Door Smart Refrigerator with AI Family Hub+ and AI Vision Inside Specifications Voice Assistant Built-in Amazon Alexa Product Height 73 inches Product Width 35 7/8 inches Height To Top Of Refrigerator (Without Hinges) 70 3/4 inches Height To Top Of Door Hinge 73 inches Depth Without Handle 34 1/4 inches
